dataset_name,run_name,model_name,model_type,max_seq_length,finetuning_method,optim,learning_rate,lr_scheduler_type,warmup_steps,warmup_ratio,per_device_train_batch_size,per_device_eval_batch_size,gradient_accumulation_steps,eval_accumulation_steps,num_train_epochs,evaluation_strategy,eval_steps,metric_for_best_model,torch_dtype,gpu,gpu_count,max_gpu_0_mem_percent,max_gpu_0_mem_gb,max_gpu_1_mem_percent,max_gpu_1_mem_gb,distributed_training_method,weight_decay,max_grad_norm,lora_rank,lora_alpha,lora_target_modules,train/loss,eval/loss,test/loss,eval/accuracy,test/accuracy,eval/f1_macro,test/f1_macro,train_runtime,eval/runtime,test/runtime,_runtime
twitter,mistralai/Mistral_7B_v0.1_LoRA_MAdAiLab/twitter_disaster_default,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,50,loss,bfloat16,NVIDIA RTX A6000,2,74.97,35.97607421875,74.68,35.83660888671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.3129,0.7224264740943909,0.7146139740943909,0.7242647058823529,0.7435661764705882,0.66796875,0.6880448645154527,4798.1056,51.3471,52.4688,4909.421041965485
patent,mistralai/Mistral_7B_v0.1_LoRA_ccdv/patent_classification_abstract,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,75.49,36.22607421875,75.75,36.35003662109375,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.7141,0.8385375142097473,0.8680312633514404,0.7124,0.6962,0.6722885793520113,0.6463654570305111,14160.0411,242.5687,242.5576,14652.858178853989
scotus,Qwen/Qwen1.5_7B_LoRA_coastalcph/lex_glue_scotus,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,76.15,36.54248046875,71.43,34.27801513671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",2.5055,3.442857027053833,3.9732143878936768,0.25142857142857145,0.22857142857142856,0.12089766026542983,0.10487040593034189,2536.0186,64.0257,64.229,2674.7572214603424
scotus,google/gemma_7b_LoRA_coastalcph/lex_glue_scotus,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,79.45,38.12841796875,87.1,41.79754638671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",1.0473,1.4781696796417236,1.6566964387893677,0.5707142857142857,0.5085714285714286,0.34177763075079726,0.28177176585278946,2922.4514,76.9548,77.6988,3086.2449808120728
scotus,meta_llama/Llama_2_7b_hf_LoRA_coastalcph/lex_glue_scotus,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,float16,NVIDIA RTX A6000,2,74.61,35.80224609375,74.35,35.68035888671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",2.157,2.484910726547241,2.6575000286102295,0.26571428571428574,0.23714285714285716,0.12123399947156946,0.09145020178890707,2557.6972,64.4885,65.4235,2694.688404560089
scotus,mistralai/Mistral_7B_v0.1_LoRA_coastalcph/lex_glue_scotus,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,75.49,36.22607421875,71.28,34.20770263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.99,2.452767848968506,3.338303565979004,0.41928571428571426,0.3357142857142857,0.26743167396063083,0.2121644129808336,2651.9302,66.5137,66.8475,2792.59628200531
amazon,Qwen/Qwen1.5_7B_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,qwen2,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,76.15,36.54248046875,75.86,36.40301513671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.4537,0.521713376045227,0.4915673434734345,0.8491436100131752,0.8629776021080369,0.8290154507852121,0.8306657526660489,6252.3234,70.2532,71.7508,6403.02877664566
amazon,google/gemma_7b_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,gemma,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,79.45,38.12841796875,79.16,37.98895263671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.2822,0.41250309348106384,0.3854526877403259,0.8787878787878788,0.8939393939393939,0.8634843036505224,0.8725306927849372,7116.3403,84.278,85.4876,7294.252737283707
amazon,meta_llama/Llama_2_7b_hf_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,llama,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,float16,NVIDIA RTX A6000,2,74.61,35.80224609375,74.32,35.66278076171875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.4019,0.4345510005950928,0.4097213745117187,0.8669301712779973,0.8768115942028986,0.8446078584253306,0.8532050854680244,6219.7056,70.1517,71.315,6368.008853197098
amazon,mistralai/Mistral_7B_v0.1_LoRA_MAdAiLab/amazon_attrprompt_default,unknown,mistral,512,LoRA,adamw_torch,5e-06,linear,0,0,32,32,1,100.0,3,steps,250,loss,bfloat16,NVIDIA RTX A6000,2,75.49,36.22607421875,75.2,36.08660888671875,deepspeed_stage1,0.1,1,128,256,"'v_proj', 'q_proj', 'down_proj', 'k_proj', 'gate_proj', 'o_proj', 'up_proj'",0.294,0.4053390622138977,0.3788599371910095,0.88866930171278,0.8992094861660079,0.8708152863825918,0.878743274447778,6478.0776,72.8066,74.0238,6631.78968000412
